"1002","1002","900000","default","2015-03-24 10:54:29","2015-03-24 10:54:29","2015-03-24 10:54:29","0","0","NORMAL_CLEARING","17155374-d1d1-11e4-85e2-2f2a3acdeb1e","","1002","opus","opus"
"1001","1001","900000","default","2015-03-24 10:59:43","2015-03-24 10:59:43","2015-03-24 11:00:06","23","23","NORMAL_CLEARING","d288f75a-d1d1-11e4-85ed-2f2a3acdeb1e","","1001","PCMU","PCMU"
"1001","1001","900000","default","2015-03-24 11:00:37","2015-03-24 11:00:37","2015-03-24 11:00:47","10","10","NORMAL_CLEARING","f27f0bb2-d1d1-11e4-85f3-2f2a3acdeb1e","","1001","PCMU","PCMU"
"1002","1002","900000","default","2015-03-24 10:59:09","2015-03-24 10:59:09","2015-03-24 11:00:55","106","106","NORMAL_CLEARING","bdd4c942-d1d1-11e4-85e6-2f2a3acdeb1e","","1002","opus","opus"
"1001","1001","900000","default","2015-03-24 11:03:10","2015-03-24 11:03:10","2015-03-24 11:03:22","12","12","NORMAL_CLEARING","4d8b194c-d1d2-11e4-8600-2f2a3acdeb1e","","1001","PCMU","PCMU"
"1002","1002","900000","default","2015-03-24 11:02:44","2015-03-24 11:02:44","2015-03-24 11:03:29","45","45","NORMAL_CLEARING","3e50753a-d1d2-11e4-85f9-2f2a3acdeb1e","","1002","opus","opus"
"1002","1002","3001","default","2015-03-24 11:06:49","2015-03-24 11:06:59","2015-03-24 11:07:22","33","23","NORMAL_CLEARING","d05311fe-d1d2-11e4-8607-2f2a3acdeb1e","","1002","opus","opus"
"1002","1002","3001","default","2015-03-24 11:07:30","2015-03-24 11:07:40","2015-03-24 11:07:44","14","4","NORMAL_CLEARING","e85f8a02-d1d2-11e4-8618-2f2a3acdeb1e","","1002","opus","opus"
"1001","1001","3002","default","2015-03-24 11:07:58","2015-03-24 11:08:09","2015-03-24 11:08:43","45","34","NORMAL_CLEARING","f9a25254-d1d2-11e4-8629-2f2a3acdeb1e","","1001","PCMU","PCMU"
"1001","1001","3002","default","2015-03-24 11:09:21","2015-03-24 11:09:31","2015-03-24 11:09:39","18","8","NORMAL_CLEARING","2a93f12e-d1d3-11e4-863a-2f2a3acdeb1e","","1001","PCMU","PCMU"
"1001","1001","3002","default","2015-03-24 11:10:48","2015-03-24 11:10:58","2015-03-24 11:11:21","33","23","NORMAL_CLEARING","5e95af4e-d1d3-11e4-864b-2f2a3acdeb1e","","1001","PCMU","PCMU"
"1001","1001","3002","default","2015-03-24 11:15:23","2015-03-24 11:15:33","2015-03-24 11:16:09","46","36","NORMAL_CLEARING","02731548-d1d4-11e4-865c-2f2a3acdeb1e","","1001","PCMU","PCMU"
"1002","1002","3002","default","2015-03-24 11:19:24","2015-03-24 11:19:34","2015-03-24 11:19:57","33","23","NORMAL_CLEARING","921baa48-d1d4-11e4-8670-2f2a3acdeb1e","","1002","PCMU","PCMU"
"1002","1002","3002","default","2015-03-24 11:20:48","2015-03-24 11:20:58","2015-03-24 11:23:02","134","124","NORMAL_CLEARING","c440f4b0-d1d4-11e4-8681-2f2a3acdeb1e","","1002","PCMU","PCMU"
"1002","1002","3001","default","2015-03-24 11:23:28","2015-03-24 11:23:38","2015-03-24 11:24:02","34","24","NORMAL_CLEARING","23c62b94-d1d5-11e4-8692-2f2a3acdeb1e","","1002","PCMU","PCMU"
"1002","1002","3001","default","2015-03-24 11:25:19","2015-03-24 11:25:30","2015-03-24 11:26:22","63","52","NORMAL_CLEARING","65fd24f4-d1d5-11e4-86a3-2f2a3acdeb1e","","1002","PCMU","PCMU"
"1001","1001","3001","default","2015-03-24 11:25:54","2015-03-24 11:26:04","2015-03-24 11:26:32","38","28","NORMAL_CLEARING","7a723fbe-d1d5-11e4-86b4-2f2a3acdeb1e","","1001","PCMU","PCMU"
"1002","1002","3001","default","2015-03-24 11:30:30","2015-03-24 11:30:40","2015-03-24 11:31:00","30","20","NORMAL_CLEARING","1f335722-d1d6-11e4-86c4-2f2a3acdeb1e","","1002","PCMU","PCMU"
"1002","1002","3001","default","2015-03-24 11:34:05","2015-03-24 11:34:15","2015-03-24 11:35:49","104","94","NORMAL_CLEARING","9f741732-d1d6-11e4-86d6-2f2a3acdeb1e","","1002","PCMU","PCMU"
"1002","1002","3001","default","2015-03-24 11:37:42","2015-03-24 11:37:52","2015-03-24 11:38:00","18","8","NORMAL_CLEARING","209aaac4-d1d7-11e4-b4cb-4989200a7c84","","1002","PCMU","PCMU"
"1001","1001","3001","default","2015-03-24 11:39:34","2015-03-24 11:39:44","2015-03-24 11:39:58","24","14","NORMAL_CLEARING","633a4934-d1d7-11e4-b4dc-4989200a7c84","","1001","PCMU","PCMU"
"1001","1001","3001","default","2015-03-24 11:40:46","2015-03-24 11:40:57","2015-03-24 11:43:00","134","123","NORMAL_CLEARING","8e90196a-d1d7-11e4-b4ed-4989200a7c84","","1001","PCMU","PCMU"
"1001","1001","3001","default","2015-03-24 11:43:08","2015-03-24 11:43:18","2015-03-24 11:43:45","37","27","NORMAL_CLEARING","e2e714fa-d1d7-11e4-b4fe-4989200a7c84","","1001","PCMU","PCMU"
